"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2017","83.70","83.70","83.70","83.70","0.06K","0.42%"
"Mar 02, 2017","83.75","83.75","83.75","83.75","0.18K","0.06%"
"Mar 03, 2017","82.75","82.75","82.75","82.75","0.10K","-1.19%"
"Mar 06, 2017","82.75","82.75","82.75","82.75","0.05K","0.00%"
"Mar 07, 2017","81.85","81.85","81.85","81.85","0.09K","-1.09%"
"Mar 08, 2017","81.45","81.45","81.45","81.45","0.08K","-0.49%"
"Mar 09, 2017","80.25","80.25","80.25","80.25","0.05K","-1.47%"
"Mar 10, 2017","80.20","80.20","80.20","80.20","0.04K","-0.06%"
"Mar 13, 2017","80.85","80.85","80.85","80.85","0.05K","0.81%"
"Mar 14, 2017","79.90","79.90","79.90","79.90","0.03K","-1.18%"
"Mar 15, 2017","79.70","79.70","79.70","79.70","0.05K","-0.25%"
"Mar 16, 2017","79.10","79.10","79.10","79.10","0.01K","-0.75%"
"Mar 17, 2017","79.20","79.20","79.20","79.20","0.02K","0.13%"
"Mar 20, 2017","79.15","79.15","79.15","79.15","0.01K","-0.06%"
"Mar 21, 2017","79.00","79.00","79.00","79.00","0.03K","-0.19%"
"Mar 22, 2017","78.85","78.85","78.85","78.85","0.02K","-0.19%"
"Mar 23, 2017","79.20","79.20","79.20","79.20","0.07K","0.44%"
"Mar 24, 2017","79.20","79.20","79.20","79.20","-","0.00%"
"Mar 27, 2017","78.70","78.70","78.70","78.70","-","-0.63%"
"Mar 28, 2017","79.00","79.00","79.00","79.00","-","0.38%"
"Mar 29, 2017","78.85","78.85","78.85","78.85","-","-0.19%"
"Mar 30, 2017","78.80","78.80","78.80","78.80","-","-0.06%"
"Mar 31, 2017","78.70","78.70","78.70","78.70","-","-0.13%"
"Apr 03, 2017","83.00","83.00","83.00","83.00","0.10K","5.46%"
"Apr 04, 2017","81.80","81.80","81.80","81.80","0.04K","-1.45%"
"Apr 05, 2017","80.95","80.95","80.95","80.95","0.02K","-1.04%"
"Apr 06, 2017","82.20","82.20","82.20","82.20","0.14K","1.54%"
"Apr 07, 2017","81.50","81.50","81.50","81.50","0.03K","-0.85%"
"Apr 10, 2017","79.95","79.95","79.95","79.95","0.12K","-1.90%"
"Apr 11, 2017","79.10","79.10","79.10","79.10","0.02K","-1.06%"
"Apr 12, 2017","78.75","78.75","78.75","78.75","-","-0.44%"
"Apr 13, 2017","79.00","79.00","79.00","79.00","0.02K","0.32%"
"Apr 17, 2017","79.00","79.00","79.00","79.00","-","0.00%"
"Apr 18, 2017","78.85","78.85","78.85","78.85","0.05K","-0.19%"
"Apr 19, 2017","78.35","78.35","78.35","78.35","-","-0.63%"
"Apr 20, 2017","78.45","78.45","78.45","78.45","-","0.13%"
"Apr 21, 2017","78.10","78.10","78.10","78.10","-","-0.45%"
"Apr 24, 2017","77.70","77.70","77.70","77.70","-","-0.51%"
"Apr 25, 2017","77.60","77.60","77.60","77.60","-","-0.13%"
"Apr 26, 2017","77.60","77.60","77.60","77.60","-","0.00%"
"Apr 27, 2017","77.60","77.60","77.60","77.60","-","0.00%"
"Apr 28, 2017","77.35","77.35","77.35","77.35","-","-0.32%"
"May 01, 2017","77.30","77.30","77.30","77.30","-","-0.06%"
"May 02, 2017","76.75","76.75","76.75","76.75","0.03K","-0.71%"
"May 03, 2017","75.80","75.80","75.80","75.80","0.11K","-1.24%"
"May 04, 2017","75.00","75.00","75.00","75.00","0.11K","-1.06%"
"May 05, 2017","74.70","74.70","74.70","74.70","0.02K","-0.40%"
"May 08, 2017","72.90","72.90","72.90","72.90","0.03K","-2.41%"
"May 09, 2017","72.55","72.55","72.55","72.55","0.04K","-0.48%"
"May 10, 2017","72.90","72.90","72.90","72.90","0.06K","0.48%"
"May 11, 2017","72.55","72.55","72.55","72.55","0.04K","-0.48%"
"May 12, 2017","72.50","72.50","72.50","72.50","0.01K","-0.07%"
"May 15, 2017","72.50","72.50","72.50","72.50","0.07K","0.00%"
"May 16, 2017","73.00","73.00","73.00","73.00","0.13K","0.69%"
"May 17, 2017","73.30","73.30","73.30","73.30","0.09K","0.41%"
"May 18, 2017","73.05","73.05","73.05","73.05","0.01K","-0.34%"
"May 19, 2017","73.00","73.00","73.00","73.00","-","-0.07%"
"May 22, 2017","73.25","73.25","73.25","73.25","-","0.34%"
"May 23, 2017","72.95","72.95","72.95","72.95","-","-0.41%"
"May 24, 2017","72.90","72.90","72.90","72.90","0.01K","-0.07%"
"May 25, 2017","72.90","72.90","72.90","72.90","-","0.00%"
"May 30, 2017","75.10","75.10","75.10","75.10","0.05K","3.02%"
"May 31, 2017","74.60","74.60","74.60","74.60","0.05K","-0.67%"
"Jun 01, 2017","75.65","75.65","75.65","75.65","-","1.41%"
"Jun 02, 2017","76.20","76.20","76.20","76.20","-","0.73%"
"Jun 05, 2017","77.55","77.55","77.55","77.55","0.02K","1.77%"
